sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
11,SCN-MDU-011,Grief names royal error,HWT-0115;HWT-0116,3.0,3.0,93.0,96.0,Move grief toward a claim about government,Private bereavement becomes public injustice,Kaṇṇaki;pastoral women;city voice,medium,A,drafted_v1
12,SCN-MDU-012,The anklet becomes a public claim,HWT-0117;HWT-0118,2.5,2.5,96.0,98.5,Turn private property into visible civic evidence,Citizens begin judging the ruler through Kaṇṇaki's suffering,Kaṇṇaki;citizens;anklet,high,A,drafted_v1
13,SCN-MDU-013,The crowd leads her to the body,HWT-0119;HWT-0120,2.5,2.5,98.5,101.0,Make the public witness what royal procedure produced,Abstract accusation becomes a bloodied body,Kaṇṇaki;citizens;Kōvalaṉ's body,medium,A,drafted_v1
14,SCN-MDU-014,Questions become a decision,HWT-0121;HWT-0122,2.5,2.5,101.0,103.5,Transform lament into chosen legal action,Kaṇṇaki leaves the body because authority must answer,Kaṇṇaki;citizens,low,A,drafted_v1
15,SCN-MDU-015,The queen dreams the symbols of collapse,HWT-0123,1.5,1.5,103.5,105.0,Let palace symbols register danger without knowledge,Royal confidence becomes internally unsettled,Pāṇḍya queen;attendants,high,B,planned
16,SCN-MDU-016,"The gate receives a claimant, not a petitioner",HWT-0124;HWT-0125,2.0,2.0,105.0,107.0,Collide ceremonial order with an evidence-bearing outsider,The gatekeeper must transmit an accusation against the king,Kaṇṇaki;gatekeeper;queen's retinue,high,A,planned
17,SCN-MDU-017,Kaṇṇaki establishes standing,HWT-0126,2.5,2.5,107.0,109.5,Make identity and economic context part of the claim,"The court must hear Kōvalaṉ as a merchant husband, not an anonymous thief",Kaṇṇaki;king;queen;court,medium,A,planned
18,SCN-MDU-018,Gems against pearls,HWT-0127,2.5,2.5,109.5,112.0,Reduce the dispute to a testable material difference,Sovereign certainty becomes vulnerable to inspection,Kaṇṇaki;king;queen;anklet,medium,A,planned
19,SCN-MDU-019,The object completes the argument,HWT-0128,2.5,2.5,112.0,114.5,Let evidence defeat wrongful classification,The gem impact makes the court's error public and undeniable,Kaṇṇaki;king;queen;court,high,A,planned
20,SCN-MDU-020,The sceptre indicts itself,HWT-0129;HWT-0130,2.5,2.5,114.5,117.0,Complete political judgement without pretending repair,Royal authority collapses while Kaṇṇaki's loss remains,king;queen;Kaṇṇaki;court,medium,A,planned
21,SCN-MDU-021,Kaṇṇaki summons remembered women,HWT-0131,1.5,1.5,117.0,118.5,Place her claim inside inherited public memory,Personal truth is measured against remembered ordeals,Kaṇṇaki;citizens;remembered women,high,B,planned
22,SCN-MDU-022,The vow includes ruler and city,HWT-0132,2.0,2.0,118.5,120.5,Expand judgement from one king to the civic order,Courtroom proof becomes a city-level sentence,Kaṇṇaki;citizens;Madurai,high,A,planned
23,SCN-MDU-023,Three circuits and the embodied accusation,HWT-0133,2.5,2.5,120.5,123.0,"Make judgement spatial, public and bodily",Kaṇṇaki's wounded body becomes the medium of accusation,Kaṇṇaki;city communities,very_high,A,planned
24,SCN-MDU-024,Fire appears under prior command,HWT-0134;HWT-0135,2.0,2.0,123.0,125.0,Preserve sacred action while fixing protected categories,Catastrophe receives explicit moral limits,Kaṇṇaki;fire deity;protected groups,very_high,A,planned
25,SCN-MDU-025,Fire chooses rather than merely spreads,HWT-0136,2.5,2.5,125.0,127.5,Establish selective fire as the governing destruction rule,The city begins burning under bounded but terrifying judgement,fire;wrongdoers;protected people,very_high,A,planned
26,SCN-MDU-026,The city loses its protectors,HWT-0137;HWT-0138;HWT-0139;HWT-0140;HWT-0141;HWT-0142,3.5,3.5,127.5,131.0,Show collapse of the whole governing environment,Ordinary procedures and sacred protections cease to function,citizens;households;palace;guardians,very_high,A,planned
27,SCN-MDU-027,Madurai witnesses its transformation,HWT-0143;HWT-0144,2.0,2.0,131.0,133.0,Shift from collective catastrophe to city-deity encounter,Madurai gains a speaking representative only after human failure,Kaṇṇaki;Madurāpati;citizens,high,B,planned
28,SCN-MDU-028,Explanation follows proof,HWT-0145;HWT-0146,2.0,2.0,133.0,135.0,Hold karma and immediate political responsibility together,Kaṇṇaki receives context but no restitution,Kaṇṇaki;Madurāpati,medium,A,planned
29,SCN-MDU-029,Fourteen days beyond the city,HWT-0147;HWT-0148,1.5,1.5,135.0,136.5,Give sacred transition bodily duration,The public accuser moves beyond ordinary civic presence,Kaṇṇaki;changing landscape,high,B,planned
30,SCN-MDU-030,Judgement becomes transferable memory,HWT-0149;HWT-0150;HWT-0151;HWT-0152,1.5,1.5,136.5,138.0,Close the justice-state arc and hand memory to hill witnesses,Direct civic action becomes testimony others will carry,Kaṇṇaki as memory;future witnesses,high,A,planned
