character_id,character,state_order,state_name,narrative_range,source_ids,body_continuity,material_or_prop_lock,asset_path,status
CHR-KOV,Kōvalaṉ,6,exposed_trader,SCN-MDU-006–009,HWT-0102–0107,locally_unprotected,sale_anklet_remains_unopened,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,1,disciplined_trainee,SCN-PUK-005,HWT-0036–0037,trained_body_and_repetition,practice_instruments_and_teacher_system,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,2,debut_preparation,SCN-PUK-006,HWT-0038–0040,technical_readiness,costume_and_stage_are_working_systems,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,3,public_performer,SCN-PUK-007–011,HWT-0041–0044,professional_control,headstaff_garland_yal_and_ensemble,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,4,intimate_artist,SCN-PUK-012–015,HWT-0045–0050,artistic_speech_and_hurt,yal_is_communication_not_decoration,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,5,letter_writer,SCN-PUK-016–SCN-ROAD-016,HWT-0051–0053;HWT-0083–0085,disciplined_grief,flower_letter_material_chain,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-MAD,Mādhavi,6,renunciant,SCN-VAN-024,HWT-0187,consequence_not_purification,renunciation_objects_require_specialist_review,assets/visual-development/character-models-v1/03-madhavi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,1,solitary_ascetic,SCN-PUK-024,HWT-0060,disciplined_and_self_sufficient,practical_ascetic_implements,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,2,assessing_witness,SCN-ROAD-001–003,HWT-0061–0064,observes_bodily_limits,water_footwear_and_load_checks,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,3,route_guide,SCN-ROAD-004–010,HWT-0065–0074,terrain_aware_not_omniscient,route_and_water_management,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,4,bodily_care_protector,SCN-ROAD-011–014,HWT-0075–0082,pace_bound_to_kannakis_body,care_materials_and_shelter_rules,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,5,refuge_broker,SCN-MDU-003,HWT-0095–0097,transfers_responsibility_precisely,care_handoff_to_madhari,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
CHR-KAU,Kauṇṭi,6,grieving_renunciant,SCN-VAN-024,HWT-0187,grief_without_prophetic_certainty,final_objects_require_jain_review,assets/visual-development/character-models-v1/04-kaundi-six-state-v1.jpg,concept_v1_research_hold
