board_id,scene_id,world,source_ids,film_start_minute,film_end_minute,runtime_minutes,scene_title,production_complexity,board_priority,estimated_panels,design_package,continuity_motifs,board_status
068,SCN-MDU-026,Madurai,HWT-0137;HWT-0138;HWT-0139;HWT-0140;HWT-0141;HWT-0142,127.5,131.0,3.5,The city loses its protectors,very_high,A,18,PD-MDU-03,gates;anklet;evidence;fire,locked_storyboard_v2
069,SCN-MDU-027,Madurai,HWT-0143;HWT-0144,131.0,133.0,2.0,Madurai witnesses its transformation,high,B,14,PD-MDU-03,gates;anklet;evidence;fire,planned_board_v1
070,SCN-MDU-028,Madurai,HWT-0145;HWT-0146,133.0,135.0,2.0,Explanation follows proof,medium,A,10,PD-MDU-03,gates;anklet;evidence;fire,planned_board_v1
071,SCN-MDU-029,Madurai,HWT-0147;HWT-0148,135.0,136.5,1.5,Fourteen days beyond the city,high,B,14,PD-MDU-03,gates;anklet;evidence;fire,planned_board_v1
072,SCN-MDU-030,Madurai,HWT-0149;HWT-0150;HWT-0151;HWT-0152,136.5,138.0,1.5,Judgement becomes transferable memory,high,A,14,PD-MDU-03,gates;anklet;evidence;fire,planned_board_v1
073,SCN-VAN-001,Vañci,HWT-0153,138.0,139.5,1.5,Kaṇṇaki names the catastrophe,medium,A,10,PD-VAN-01,witness;stone;water;institution,planned_board_v1
074,SCN-VAN-002,Vañci,HWT-0154;HWT-0155,139.5,141.5,2.0,A small settlement receives a deity,high,A,14,PD-VAN-01,witness;stone;water;institution,planned_board_v1
075,SCN-VAN-003,Vañci,HWT-0156,141.5,142.5,1.0,Mountain water holds the community,high,B,14,PD-VAN-01,witness;stone;water;institution,planned_board_v1
076,SCN-VAN-004,Vañci,HWT-0157,142.5,143.5,1.0,The spear links distinct sacred landscapes,high,B,14,PD-VAN-01,witness;stone;water;institution,planned_board_v1
077,SCN-VAN-005,Vañci,HWT-0158,143.5,144.5,1.0,Ritual efficacy is debated inside the song,medium,B,10,PD-VAN-01,witness;stone;water;institution,planned_board_v1
078,SCN-VAN-006,Vañci,HWT-0159,144.5,146.0,1.5,The hill song judges Madurai,high,A,14,PD-VAN-01,witness;stone;water;institution,planned_board_v1
079,SCN-VAN-007,Vañci,HWT-0160;HWT-0161,146.0,147.5,1.5,The court enters mountain country,very_high,A,18,PD-VAN-01,witness;stone;water;institution,planned_board_v1
080,SCN-VAN-008,Vañci,HWT-0162;HWT-0163,147.5,148.5,1.0,Tribute carries ecological knowledge,very_high,A,18,PD-VAN-01,witness;stone;water;institution,planned_board_v1
081,SCN-VAN-009,Vañci,HWT-0164,148.5,150.0,1.5,The Kuravar report what they saw,medium,A,10,PD-VAN-01,witness;stone;water;institution,planned_board_v1
082,SCN-VAN-010,Vañci,HWT-0165,150.0,152.0,2.0,Sāttanār connects witness to history,medium,A,10,PD-VAN-01,witness;stone;water;institution,planned_board_v1
083,SCN-VAN-011,Vañci,HWT-0166,152.0,153.0,1.0,The ruler hears the burden of justice,low,A,8,PD-VAN-02,witness;stone;water;institution,board_package_v1
084,SCN-VAN-012,Vañci,HWT-0167,153.0,154.0,1.0,Pattini becomes a royal responsibility,low,A,8,PD-VAN-02,witness;stone;water;institution,board_package_v1
085,SCN-VAN-013,Vañci,HWT-0168,154.0,155.0,1.0,"Stone, place and legitimacy are debated",medium,B,10,PD-VAN-02,witness;stone;water;institution,board_package_v1
086,SCN-VAN-014,Vañci,HWT-0169;HWT-0170,155.0,156.5,1.5,A memorial decision becomes an expedition,high,A,14,PD-VAN-02,witness;stone;water;institution,board_package_v1
087,SCN-VAN-015,Vañci,HWT-0171;HWT-0172;HWT-0173,156.5,157.5,1.0,The state mobilises,very_high,A,18,PD-VAN-02,witness;stone;water;institution,board_package_v1
088,SCN-VAN-016,Vañci,HWT-0174;HWT-0175,157.5,158.5,1.0,Departure becomes public performance,very_high,A,18,PD-VAN-02,witness;stone;water;institution,board_package_v1
089,SCN-VAN-017,Vañci,HWT-0176;HWT-0177,158.5,160.0,1.5,The army crosses landscapes,very_high,A,18,PD-VAN-02,witness;stone;water;institution,board_package_v1
090,SCN-VAN-018,Vañci,HWT-0178;HWT-0179,160.0,161.0,1.0,Allies and administration sustain the expedition,high,B,14,PD-VAN-02,witness;stone;water;institution,board_package_v1
091,SCN-VAN-019,Vañci,HWT-0180;HWT-0181,161.0,163.5,2.5,Northern coalition and battle,very_high,A,18,PD-VAN-02,witness;stone;water;institution,board_package_v1
092,SCN-VAN-020,Vañci,HWT-0182,163.5,165.0,1.5,The stone is obtained,high,A,14,PD-VAN-02,witness;stone;water;institution,board_package_v1
093,SCN-VAN-021,Vañci,HWT-0183,165.0,166.0,1.0,Victory places weight upon defeated crowns,high,B,14,PD-VAN-03,witness;stone;water;institution,board_package_v1
094,SCN-VAN-022,Vañci,HWT-0184,166.0,167.0,1.0,The river consecrates the stone,very_high,A,18,PD-VAN-03,witness;stone;water;institution,board_package_v1
095,SCN-VAN-023,Vañci,HWT-0185;HWT-0186,167.0,168.5,1.5,Victory remembers bodies,very_high,A,18,PD-VAN-03,witness;stone;water;institution,board_package_v1
096,SCN-VAN-024,Vañci,HWT-0187,168.5,170.5,2.0,Māṭalan reconnects the epic,medium,A,10,PD-VAN-03,witness;stone;water;institution,board_package_v1
097,SCN-VAN-025,Vañci,HWT-0188;HWT-0189,170.5,172.0,1.5,Return begins with release,high,A,14,PD-VAN-03,witness;stone;water;institution,board_package_v1
098,SCN-VAN-026,Vañci,HWT-0190,172.0,173.5,1.5,The king enters Vañci,very_high,A,18,PD-VAN-03,witness;stone;water;institution,board_package_v1
099,SCN-VAN-027,Vañci,HWT-0191,173.5,174.5,1.0,Bodies remember war,medium,A,10,PD-VAN-03,witness;stone;water;institution,board_package_v1
100,SCN-VAN-028,Vañci,HWT-0192;HWT-0193;HWT-0194,174.5,176.5,2.0,A shrine becomes an institution,very_high,A,18,PD-VAN-03,witness;stone;water;institution,board_package_v1
101,SCN-VAN-029,Vañci,HWT-0195;HWT-0196,176.5,178.5,2.0,Memory bearers gather,high,A,14,PD-VAN-03,witness;stone;water;institution,board_package_v1
102,SCN-VAN-030,Vañci,HWT-0197,178.5,180.0,1.5,The epic closes as ethical instruction,medium,A,10,PD-VAN-03,witness;stone;water;institution,board_package_v1
