concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0071,ROAD sacred cave and three ponds,madurai_kaandam.md,Madurai,11. Seeing the Forest,91-140,"புண்ணிய சரவணம் பவகா ரணியோடு இட்ட சித்தி","A mountain-cave route is associated with three sacred ponds, guarded thresholds, mantras and promised knowledge or memory",verified_exact
HWT-0072,ROAD middle route and local deity,madurai_kaandam.md,Madurai,11. Seeing the Forest,141-150,"மதுரைப் பெருவழி","The middle road crosses settlements and forests where a local deity may test travellers without physically harming them",verified_exact
HWT-0073,Kauṇṭi's ethical route decision,madurai_kaandam.md,Madurai,11. Seeing the Forest,151-165,"பிலம்புக வேண்டும் பெற்றி ஈங்கில்லை","Kauṇṭi rejects the cave quest and chooses truthful conduct, protection of life and direct travel toward Madurai",verified_exact
HWT-0074,ROAD-Z04 forest-deity illusion,madurai_kaandam.md,Madurai,11. Seeing the Forest,166-200,"வயந்த மாலை வடிவில் தோன்றிக்","At a pond a forest deity assumes Vasantamālai's form, invokes Mādhavi and is exposed by Kōvalaṉ's protective mantra",verified_exact
HWT-0075,ROAD-Z05 heat avoidance and Aiyai shrine,madurai_kaandam.md,Madurai,11. Seeing the Forest,201-215,"தீதியல் கானஞ் செலவரி தென்று","Because daytime heat makes the forest difficult, the group travels onward and reaches the Aiyai-Korravai shrine in hunter country",verified_exact
HWT-0076,ROAD-Z05 bodily exhaustion,madurai_kaandam.md,Madurai,12. Hunter Song,1-5,"ஆறுசெல் வருத்தத்துச் சீறடி சிவப்ப","Kaṇṇaki's feet redden and the travellers rest in the shrine enclosure to recover from heat and road strain",verified_exact
HWT-0077,ROAD-Z05 possession and ritual debt,madurai_kaandam.md,Madurai,12. Hunter Song,6-20,"முழங்குவாய்ச் சாலினி தெய்வ முற்று","Sālini becomes possessed and declares that the hunter community's decline follows an unpaid obligation to its goddess",verified_exact
HWT-0078,ROAD-Z05 ritual transformation and procession,madurai_kaandam.md,Madurai,12. Hunter Song,21-45,"தொல்குடிக் குமரியைச்","The community dresses a maiden with serpent cord, tusk, tiger teeth, hide, bow, animals, colours, food, flowers, incense, drums, horn, flute and bell",verified_exact
HWT-0079,Kaṇṇaki recognised within hunter ritual,madurai_kaandam.md,Madurai,12. Hunter Song,46-50,"ஒருமா மணியாய் உலகிற் கோங்கிய","In possession Sālini identifies Kaṇṇaki as an exceptional southern woman and future jewel of the world",verified_exact
HWT-0080,Korravai composite sacred form,madurai_kaandam.md,Madurai,12. Hunter Song,51-75,"வலம்படு கொற்றத்து வாய்வாட் கொற்றவை","Korravai is praised through weapons, animal skins, mountain, buffalo-demon and forms shared with wider divine traditions",verified_exact
HWT-0081,ROAD-Z06 night passage under Pāṇḍya order,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,1-35,"இரவிடைக் கழிதற் கேத மில்லை","The travellers cross the dangerous summer region by moonlight, with the poem attributing unusual safety to just Pāṇḍya rule",verified_exact
HWT-0082,ROAD-Z06 outer religious settlement,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,36-40,"புரிநூல் மார்பர் உறைபதிச் சேர்ந்து","They reach an outer settlement of learned religious householders and place Kaṇṇaki in protected lodging with Kauṇṭi",verified_exact
HWT-0083,ROAD messenger network and recognition,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,41-55,"கௌசிகன் தெரியான்","Kausika encounters Kōvalaṉ outside the city and recognises him through carefully framed speech about Mādhavi",verified_exact
HWT-0084,Pukār consequences carried along the road,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,56-75,"சுற்றம் துயர்க்கடல் வீழ்ந்ததும்","Kausika reports the grief of both merchant families, the search for Kōvalaṉ and Mādhavi's collapse and letter",verified_exact
HWT-0085,Mādhavi's letter and Kōvalaṉ's self-recognition,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,76-100,"என்தீ தென்றே","The clay-sealed letter retains Mādhavi's scent; Kōvalaṉ understands her innocence, accepts his own fault and sends the message to his parents",verified_exact
HWT-0086,ROAD-Z06 music scent and first perception of Madurai,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,101-130,"மதுரைத் தென்றல் வந்தது காணீர்","Bards, yāḻ music, sandal, flowers, kitchens, sweet shops, household smoke, sacrifice and palace scents announce Madurai before it is seen",verified_exact
HWT-0087,ROAD-Z06 Madurai dawn soundscape,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,131-150,"காலை முரசக் கனைகுரல் ஓதையும்","Temple and palace drums, Vedic recitation, ascetic teaching, elephants, horses and bardic dawn music reveal the capital's institutions",verified_exact
HWT-0088,ROAD-Z06 Vaigai river ecology,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,151-170,"வையை என்ற பொய்யாக் குலக்கொடி","The Vaigai is personified through flowering banks, sand islands, fish-like eyes and concealed tears while sustaining the world around Madurai",verified_exact
HWT-0089,ROAD-Z06 Vaigai crossing and fortified edge,madurai_kaandam.md,Madurai,13. Halt in the Outer Settlement,171-195,"மரப்புணை போகித்","The travellers cross by wooden raft, reach the south bank, circle moat and rampart, read ominous banners and enter cultivated outer precincts",verified_exact
