sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
15,SCN-VAN-015,The state mobilises,HWT-0171;HWT-0172;HWT-0173,1.0,1.0,156.5,157.5,"Show time, councils, bodies and food behind war",The vow becomes administrative burden,king;councils;army;workers,very_high,B,planned
16,SCN-VAN-016,Departure becomes public performance,HWT-0174;HWT-0175,1.0,1.0,157.5,158.5,Stage sacred and civic legitimation of departure,Mobilisation becomes public kingship,Senguttuvan;poets;performers;army,very_high,B,planned
17,SCN-VAN-017,The army crosses landscapes,HWT-0176;HWT-0177,1.5,1.5,158.5,160.0,Show military movement with ritual obligations,Expansion encounters communities it must protect or negotiate with,army;ascetics;local communities,very_high,B,planned
18,SCN-VAN-018,Allies and administration sustain the expedition,HWT-0178;HWT-0179,1.0,1.0,160.0,161.0,Materialise alliance through boats and writing,Conquest depends on diplomacy and records,Hundred Kannar;scribes;army,high,B,planned
19,SCN-VAN-019,Northern coalition and battle,HWT-0180;HWT-0181,2.5,2.5,161.0,163.5,Depict organised mass violence rather than heroic blur,State logistics become bodily destruction,Senguttuvan's forces;northern coalition,very_high,A,planned
20,SCN-VAN-020,The stone is obtained,HWT-0182,1.5,1.5,163.5,165.0,Complete the expedition objective while preserving coercion,Victory converts enemies and landscape into memorial material,Senguttuvan;Kanaka;Vijaya;army,high,A,planned
21,SCN-VAN-021,Victory places weight upon defeated crowns,HWT-0183,1.0,1.0,165.0,166.0,Keep humiliation and political domination visible,The sacred project bears the weight of captive bodies,defeated rulers;stone;Cēra court,high,B,planned
22,SCN-VAN-022,The river consecrates the stone,HWT-0184,1.0,1.0,166.0,167.0,Transform expedition material through Ganges consecration,Victory object becomes ritual material,ritual specialists;stone;river,very_high,A,planned
23,SCN-VAN-023,Victory remembers bodies,HWT-0185;HWT-0186,1.5,1.5,167.0,168.5,Combine ceremonial complex with differentiated martial remembrance,Triumph is interrupted by dead and wounded bodies,Senguttuvan;warriors;specialists,very_high,A,planned
24,SCN-VAN-024,Māṭalan reconnects the epic,HWT-0187,2.0,2.0,168.5,170.5,Make northern victory answer to accumulated grief,"Pukār, Road and Madurai losses enter the victory space",Māṭalan;Senguttuvan;remembered families,medium,A,planned
25,SCN-VAN-025,Return begins with release,HWT-0188;HWT-0189,1.5,1.5,170.5,172.0,Move from captive release to plural landscape songs,Conquest gives way to return and regional reception,released rulers;army;landscape singers,high,A,planned
26,SCN-VAN-026,The king enters Vañci,HWT-0190,1.5,1.5,172.0,173.5,Convert expedition into civic memory,The capital receives a returning ruler and a changed project,Senguttuvan;Vañci citizens;army,very_high,B,planned
27,SCN-VAN-027,Bodies remember war,HWT-0191,1.0,1.0,173.5,174.5,Keep veteran wounds under the triumphal image,"Women receive altered bodies, not abstract victory",veterans;women;families,medium,A,planned
28,SCN-VAN-028,A shrine becomes an institution,HWT-0192;HWT-0193;HWT-0194,2.0,2.0,174.5,176.5,"Join civic remission, specialist construction and recurring worship",Political release precedes durable sacred infrastructure,king;prisoners;specialists;craftspeople,very_high,A,planned
29,SCN-VAN-029,Memory bearers gather,HWT-0195;HWT-0196,2.0,2.0,176.5,178.5,Keep women's lived memory prior to transregional royal adoption,Private grief and diplomatic participation meet without becoming equal,Dēvanti;companions;regional rulers,high,A,planned
30,SCN-VAN-030,The epic closes as ethical instruction,HWT-0197,1.5,1.5,178.5,180.0,Return judgement to the audience's conduct,"Monument gives way to truth, restraint, charity and fellowship",narrative voice;community;audience,medium,A,planned
